X,Y,Value
159,156,0.03569319262555736
179,186,0.036948951880092486
14,30,0.02977653652843449
195,167,0.0346896907226307
170,70,0.04045068619275351
50,196,0.03050164527888687
118,195,0.03307036358067224
43,174,0.028113375497244478
14,187,0.03712611317869613
118,115,0.03754879869433414
153,48,0.03889008410734449
90,138,0.027681139810898592
91,28,0.03564341020852859
197,67,0.02933565385010093
91,129,0.034997692107703864
185,44,0.04305574352003648
92,177,0.03197884827839435
137,161,0.03930009992563295
99,164,0.03050198849549783
72,115,0.03212883073729817
26,141,0.037632330503519704
7,114,0.030925326377252794
170,79,0.02478221098912739
137,77,0.042591010611279984
164,174,0.03716214342727908
78,94,0.031498163356639464
81,119,0.023035527276016397
43,146,0.046413258628395834
103,108,0.055342224927629254
117,178,0.036244882444132744
76,103,0.040098839885067135
143,26,0.042347361872444964
32,164,0.03078917339876835
109,36,0.032892822622660765
7,56,0.024637273780128824
137,57,0.03058053060636877
169,3,0.03873445869731669
74,11,0.03325570406455478
23,51,0.03371473079490154
155,158,0.034324642690984904
188,16,0.023817998105026376
53,111,0.04002577960539003
135,11,0.026339042666387476
53,96,0.03374857902550611
155,101,0.03236861922764702
166,194,0.033688437098862815
34,150,0.04375979566841472
69,145,0.03150764049250779
72,133,0.030301414425728625
76,115,0.02588207603033693
63,79,0.030165811510332506
141,96,0.028002891755793572
97,62,0.03744767717748978
91,163,0.029821974523952743
153,91,0.03682425221016882
38,150,0.03412143507291248
21,191,0.026398626920535177
41,89,0.030256353285663815
175,143,0.040310674730346066
90,123,0.04041845651572741
60,35,0.04703343964580377
16,30,0.03497851814960132
116,162,0.026025039116107165
94,69,0.03038949783790905
6,197,0.037450931029040894
200,199,0.046400818009368336
86,130,0.03566005474063834
86,23,0.04184232095077082
39,21,0.03960848782815357
159,19,0.027991450267296006
118,137,0.03397332408641085
50,190,0.042831569218086105
34,197,0.04025657665757548
4,173,0.03778277684940679
13,104,0.03786268547226128
69,32,0.03205156819874359
127,48,0.027083688119934793
153,15,0.04277255474498785
52,154,0.026478683049998432
22,148,0.029366624481765025
89,35,0.03877378995511904
160,55,0.027426832703662397
25,159,0.031688777520363254
35,125,0.027903202959305137
168,152,0.038723981346373705
112,17,0.037677878099828574
30,71,0.03753130815964213
140,185,0.037654788632873824
159,77,0.03834347447827364
121,163,0.038836138951823106
110,186,0.023188030659954673
158,182,0.0341071018318408
64,13,0.03567478287531141
142,68,0.039348057215886564
199,127,0.027875083543968292
67,25,0.03200239886110452
151,29,0.028558142055493053
122,181,0.04134344127625808
79,16,0.04267443549925601
85,169,0.0397260603521554
165,9,0.02766557970453806
136,37,0.037711712700419925
51,54,0.0419026951182855
74,24,0.03600764588441876
178,14,0.031603344002624184
106,158,0.028483290556331902
98,109,0.031008183226639067
74,190,0.039289090135696036
127,116,0.03241003339770843
174,111,0.03636568963964053
17,40,0.04276967477402183
190,119,0.03847000964281673
46,167,0.04318803668884124
54,72,0.024790521184037566
163,14,0.03331594232171725
110,176,0.03539040811695316
94,65,0.03847153574965109
79,151,0.027984760270826182
24,26,0.039837109132683735
113,46,0.036844340456974004
107,23,0.0365828360816283
135,191,0.038050908749630276
151,149,0.03430184936073804
154,81,0.04055327659099468
102,39,0.03888937864238894
160,71,0.034098743754993804
135,45,0.041242262116044204
155,47,0.03675535210967709
170,76,0.039012508396636794
5,96,0.031434934150254674
70,174,0.04448259102191553
16,60,0.0349760663339001
24,83,0.04008705661336086
32,89,0.034399300844643856
21,145,0.03332222055811641
55,137,0.03970662947168004
75,109,0.025492300132452954
164,126,0.037870196886764185
83,110,0.03736139823796889
39,151,0.018828023785252904
54,159,0.037210263971199545
137,166,0.02198949351591797
199,33,0.03895882626135632
48,80,0.03227651759971286
77,60,0.03083037904859064
83,72,0.03495892218096401
184,133,0.04323831226990394
