X,Y,Value
43,110,0.025733646349436628
87,148,0.017217406998302223
192,155,0.02030871117881032
98,53,0.025944487987162198
104,6,0.021005400241320155
45,105,0.020576224547544975
188,4,0.013657588891496535
193,183,0.024594487745673875
193,6,0.028240863910530115
11,113,0.023024766329269277
50,69,0.017584340992760017
144,11,0.02424277172114602
46,9,0.004726055457344582
178,153,0.016106974932729386
63,185,0.020473600514483135
195,177,0.03242114119455274
14,147,0.013065531104786794
88,150,0.015621671111318763
102,144,0.01695493148086656
29,68,0.01701563964982415
197,180,0.0213438905176285
130,120,0.02247012140989027
123,194,0.01689645605024807
57,160,0.020592989454520302
181,26,0.020685172524249337
152,184,0.014117454352341716
22,17,0.011383529514270858
72,189,0.021345783710181157
87,56,0.019349875183172206
109,160,0.019244721186744224
88,107,0.02962066006388094
120,92,0.02612852618504541
199,127,0.022934304342159657
170,166,0.011577068915369668
175,4,0.014271415904160378
92,134,0.028739621971547353
86,38,0.027571802884522236
89,90,0.01094704736266193
83,1,0.02496520787177792
40,39,0.015152702006739908
130,44,0.029157910905029186
161,90,0.019097319423358964
119,169,0.023113545543403412
84,93,0.02810498977165763
143,44,0.026867819527516035
28,28,0.019497350611748964
90,58,0.027055744388285147
113,153,0.016189067346387576
131,121,0.02186740699244791
99,101,0.01674352434303287
75,171,0.02242279567241707
134,145,0.012095741717405123
138,90,0.023590131286157345
140,102,0.027428082204502845
170,65,0.027668893519389434
34,122,0.019195016904959252
101,13,0.03415919738417753
128,25,0.016607638220679163
133,63,0.022058562706477138
10,103,0.012061706332353638
192,90,0.022181790408560522
102,200,0.021507775012759387
22,43,0.011165083530169926
194,165,0.020232761141249334
58,16,0.021915615664239663
129,97,0.022954693315417645
34,10,0.021181742984036613
130,146,0.015627801115530547
25,11,0.011772185101509779
70,24,0.02886783857030388
75,174,0.01809202605336685
158,114,0.027437846959162675
149,68,0.008042845032310722
28,36,0.03212586473224142
140,114,0.013531686638504504
100,45,0.018336028981681143
118,27,0.02480907772287935
168,99,0.021519689984853284
198,78,0.015677700866290084
132,20,0.0058495082088407535
166,48,0.02024364535089917
155,88,0.014696232022873401
54,138,0.0022056884611045824
23,131,0.0175457511556088
38,134,0.022448336528404816
180,151,0.01617442056779873
172,43,0.019830511710781217
179,195,0.02236229614399405
155,163,0.009467564698703785
40,97,0.027571302146085608
133,66,0.019545339581401793
123,58,0.036736659321336095
50,44,0.027403236589154667
112,156,0.031036108165587897
129,152,0.018233210813853748
181,151,0.016596537766863838
29,48,0.02264584144009393
101,54,0.021192610019006436
72,180,0.011377782242563354
168,2,0.02554265948337517
141,126,0.023576577677586502
190,54,0.022278828119239064
115,76,0.019811357726048782
28,186,0.015812024961418855
101,180,0.014360506415541572
113,108,0.014228510620403746
92,28,0.005870684849320958
110,39,0.031512170902954995
144,101,0.026370969687236304
159,155,0.014280005104700056
130,33,0.019242665030974982
103,70,0.01820831253210056
63,18,0.01843435031648144
189,166,0.01863281696430582
28,172,0.02412645313514469
127,97,0.019032777896489918
89,53,0.021671103260585793
120,149,0.024445232605825214
119,166,0.02280517998185241
154,146,0.0192878822489684
197,103,0.022436316658221458
107,123,0.005647012559153026
54,147,0.016968042306360946
162,10,0.028924866856697845
132,25,0.021858181854409
66,131,0.02865783829984735
10,28,0.018043171551949018
41,135,0.013918157104880587
