X,Y,Value
108,48,0.023542555904913883
141,98,0.027243216199748663
49,118,0.030827690085078723
119,1,0.024630538703256433
155,74,0.03455927000830533
189,83,0.029797023789401165
159,193,0.030601592545740526
49,70,0.025603008081842675
198,19,0.04298277326772972
188,41,0.03252537450111789
11,169,0.038297753250897404
16,195,0.024400562281904167
92,71,0.03386280924970347
104,89,0.02383145590350406
127,199,0.02642867316562127
108,185,0.025813817461416665
163,123,0.03357023592088299
146,184,0.01938110460089247
78,1,0.03390996688430039
46,191,0.025724994669247214
8,130,0.03490458636946697
52,136,0.024705588937279806
197,68,0.017617343708834103
183,50,0.030267265103108166
20,106,0.03056992012360638
105,15,0.03496234311721113
47,177,0.030000162062051146
43,162,0.0261572926679973
3,46,0.028102639347911375
93,184,0.030267698388081982
167,149,0.026854478319674233
58,149,0.03082883900824818
53,26,0.03141432583012501
197,64,0.031952808242301005
89,192,0.032533826722736275
18,167,0.02681319170617405
139,78,0.017327973750735085
4,154,0.03880049690528034
28,199,0.02863768274831113
105,173,0.03874129008494519
97,21,0.030121994575243703
3,117,0.02522960398102288
101,109,0.03744856702236117
91,196,0.03613350813263706
127,71,0.025439635598688764
70,19,0.02946982724252251
110,104,0.030255711687355323
186,120,0.028438821792296388
151,98,0.03261214998725472
164,97,0.02739621092922271
100,95,0.029946515118101442
33,12,0.027527682764356437
141,131,0.02668593846366868
140,138,0.025082235977467164
35,198,0.04020623431827089
116,35,0.027614746871838784
58,128,0.031646431615793086
8,127,0.03375691250832758
159,112,0.024888553894019373
123,169,0.02478688163799688
97,121,0.038549802435513224
44,194,0.029253364009963163
45,21,0.026205750445503714
64,87,0.02920901669104567
143,123,0.03275646182437478
198,73,0.030380018884853845
160,21,0.03294941636896175
1,173,0.025394777836538332
88,138,0.03054936018959689
51,55,0.03421897821372588
164,8,0.0330881351495294
132,141,0.02925649059166204
178,83,0.024370572911863144
156,192,0.025891921493764746
107,85,0.025007189828593387
74,91,0.028611246565073037
148,151,0.024836342893257465
76,153,0.030037991893191545
78,122,0.035485986816755764
8,87,0.03125293004356096
150,29,0.03203300168627854
167,65,0.03162181942945234
115,75,0.021589152724728923
42,58,0.03737099739613228
116,39,0.036751831852133654
200,9,0.022753198597562807
18,129,0.03677796906507462
75,159,0.026882418790071163
16,143,0.022026035638275432
141,166,0.020178268701040118
170,169,0.0371429037693758
111,98,0.031021296269295787
183,129,0.022988250305911825
28,187,0.02781696019592834
139,139,0.01661159792730739
19,146,0.030462997717357315
91,13,0.037297678076673974
198,91,0.034264969022531885
120,35,0.030637357304890162
153,113,0.029594680002566476
123,112,0.03342807929913541
119,175,0.03902022764543388
83,26,0.0334214452771392
83,8,0.02744741278864716
16,146,0.03430137521382881
3,129,0.024275295040861643
113,52,0.028348182005412143
11,104,0.03451714586776657
156,84,0.02793836049318946
89,113,0.02915282251445584
9,9,0.037650752204363154
55,114,0.028023448548588587
177,15,0.040928750412483055
153,26,0.03901984388425095
197,169,0.03186074041907493
99,65,0.02929455181218159
99,189,0.027061699135389278
180,198,0.029341260661199728
176,103,0.03854471665324488
52,4,0.042128593097483305
113,42,0.028343650598202697
3,190,0.025305370203723913
129,131,0.030984384829754196
125,128,0.03355195138893864
44,2,0.021693683982526135
59,196,0.02302242201562903
8,119,0.029272528784584334
19,26,0.035593804856102675
154,123,0.032889145652360424
44,49,0.032482518532125276
7,162,0.0323027045435086
197,155,0.02802037263381893
82,191,0.040985191582527884
172,192,0.03465980395240218
70,186,0.04214039188373877
157,12,0.028515884205756438
65,171,0.032304312607848815
162,61,0.03060023745849192
6,121,0.022029497266295585
192,127,0.026908355799703097
200,74,0.04471478783502904
40,55,0.03529738373545648
166,78,0.02500156936955268
136,123,0.032783535842406
144,36,0.0298094586216495
68,55,0.01840464974392409
48,97,0.017160084942633845
196,65,0.032735698457415724
168,173,0.03837704909010577
80,165,0.04010948464796347
17,132,0.03979379567925434
194,65,0.02397816270377342
194,43,0.028459149795372934
11,103,0.026449952517918315
102,44,0.030196816768869532
150,28,0.031703076342614614
196,82,0.038524108815895054
22,36,0.02162067190942702
92,157,0.038582690891527355
165,101,0.02861046698318081
23,146,0.037429846317818725
138,93,0.02897020205201726
165,195,0.025278698101738644
97,150,0.035890028991670424
134,125,0.02452500134223129
33,69,0.030846136193750012
51,150,0.026999909954344984
33,86,0.03364012569455294
108,77,0.02800381795425434
92,108,0.019260804553722026
73,128,0.02709356966813647
61,119,0.025255958678240806
5,66,0.02363885262398345
60,168,0.02909014107243141
19,141,0.0376125325660181
141,49,0.01914862097902292
68,68,0.032195648460233754
5,194,0.03657830463889759
45,62,0.0416605566732815
126,98,0.03011228326439407
104,134,0.035907861477765625
135,137,0.026383224389921182
135,69,0.03527218592238195
175,31,0.03444881860135928
141,22,0.03511059934842872
29,200,0.03370260564646291
8,133,0.034588688883369724
168,35,0.026456494514896033
124,131,0.029936567325345505
119,6,0.034600908848532105
132,11,0.02508696149336194
94,185,0.03508686329630496
85,100,0.027578232723748076
31,98,0.028158324556614666
54,90,0.029051385037425798
138,139,0.03350119326233552
120,84,0.030846427675046657
66,42,0.025746240240186607
137,188,0.026520359821286907
125,21,0.0229342865629514
19,71,0.026734201253968224
82,29,0.021376278810793972
97,10,0.03582479361703934
136,66,0.03325264629600539
58,61,0.024317637362865987
107,166,0.029328296814301668
68,53,0.026902255567583324
154,46,0.0393314463748899
89,185,0.02690776481729259
136,107,0.024335600078562298
131,80,0.018073936912014282
36,29,0.02133534282453236
192,62,0.03430711088803957
170,50,0.030070331309553937
25,92,0.03191027724261213
51,197,0.0269135395864669
66,101,0.03184253316323225
120,71,0.036214839128318015
40,135,0.02615014873192162
43,127,0.028468180859938776
177,186,0.02707945319374553
48,136,0.025341687230876243
87,86,0.04077401620037816
62,28,0.0283362449949896
74,89,0.03774749555750287
162,150,0.032440619997098075
172,148,0.018126187922609956
3,7,0.025891905041155412
26,2,0.03967355518063895
55,129,0.04120586757257441
179,43,0.025196020558349196
