X,Y,Value
123,80,0.023360613676457604
195,92,0.022200517719603647
70,160,0.016264524009054964
119,22,0.024816132096732845
6,97,0.021650008836115255
84,198,0.029657040297266696
154,85,0.015042513335223918
57,171,0.022951347098214933
92,78,0.018090095416160853
166,107,0.02062549596018874
135,112,0.00962257680523845
104,196,0.015926461403854005
119,125,0.026531393999018184
10,146,0.017203328182580156
92,34,0.0303308667665518
76,58,0.01587780261755658
149,160,0.020628033796948022
191,75,0.0203763786268659
198,147,0.019806240148662977
68,61,0.023780910844820577
81,56,0.02220733723117409
4,183,0.02868451083116943
5,94,0.02230984855476462
85,75,0.01826789559063955
191,162,0.017148422684640174
118,183,0.011027449608970247
165,63,0.03259977845793863
28,185,0.02276629203928756
25,156,0.0175155889003918
196,187,0.020715469441905256
120,11,0.029110163706630065
177,31,0.02092017184268517
93,145,0.02084447376336857
12,116,0.015289522775317765
17,89,0.021594748052576346
36,197,0.02110599548800223
123,25,0.02040803911987062
62,88,0.01432064354433491
37,155,0.01770745107276065
138,22,0.005939714450586843
173,66,0.01702086440548546
47,109,0.025323140403538176
171,178,0.015342272414131792
109,152,0.028415075311424013
99,107,0.01760361438207588
78,179,0.024832933174763996
198,57,0.01898474082597903
70,6,0.034737153241301444
35,58,0.023424395825503177
124,52,0.02151386603174353
43,15,0.023313403532537413
158,62,0.03068044166129961
47,153,0.016021346647482886
107,34,0.012450719158775051
1,114,0.02234451155443253
81,11,0.02578367307047011
40,161,0.025190431763465953
58,49,0.018722918573193772
23,156,0.028035044547592307
166,70,0.02117841622835729
53,51,0.018602596611624746
100,120,0.011052273522121963
160,130,0.023443478289780745
97,13,0.02389950484289565
139,154,0.014457896327530442
71,101,0.017811267924928917
176,145,0.019472040402064815
189,156,0.025219679395908884
90,90,0.006150686897616553
116,139,0.022636596924032044
59,146,0.019645669105749577
30,175,0.02046997449744822
125,186,0.02166596525872484
45,93,0.02203576050929916
173,44,0.020938455576921883
197,96,0.024527867694119892
63,25,0.02709896507691466
45,46,0.015251793920707683
146,143,0.017489123802043857
106,118,0.01755426502193407
85,19,0.021853080718309995
192,12,0.01912197874496998
28,12,0.011862051242445307
116,62,0.020755186639277407
31,89,0.011600061961781616
163,81,0.023958321891455966
61,65,0.021819207341197657
62,198,0.02263326473265263
101,68,0.028024033695005186
181,16,0.01764490840479858
177,74,0.01991044289299306
183,155,0.020712281683927355
192,56,0.023448941500262357
140,193,0.019637231038234882
126,100,0.028368023276326253
43,173,0.01634067378748786
71,28,0.016837267489005946
146,46,0.024693535392326382
102,142,0.01605765219848161
67,35,0.019019280901105454
156,175,0.019261585061617764
148,94,0.03037097211291659
200,191,0.0070550790715005595
30,29,0.013168273631933689
47,126,0.019179280284819737
23,176,0.024923410139767996
147,80,0.018146187991384944
96,34,0.02582687708041819
172,9,0.03120038845653035
99,11,0.027359326977963887
138,57,0.009870257198359409
69,96,0.012950365164885447
157,47,0.0294002524195157
105,85,0.018970683456210058
3,25,0.02712795028314468
6,84,0.015099376193034583
184,42,0.01601082566503305
102,47,0.013756718800260814
147,51,0.022787229945951767
126,103,0.026006144294768958
199,196,0.01940499247022413
97,94,0.0207860037331938
3,75,0.015513373576248282
140,75,0.01794671482025357
129,200,0.025882017894910587
166,179,0.025308046482759645
178,157,0.020912524604286338
127,135,0.016930619054607545
59,51,0.021760026808129062
198,35,0.019460521354975502
87,125,0.022453905880616593
9,174,0.02684869495086794
166,66,0.019306983555877625
191,96,0.022817722958507702
16,39,0.0181250058230268
115,7,0.02898113772177663
114,26,0.019234648042963046
191,108,0.015528255180247516
57,106,0.019453563276028773
90,92,0.02819162569422602
96,51,0.00550298928963599
27,19,0.0010514012532358286
130,2,0.02263576297059495
167,125,0.03320778748172424
99,147,0.017474618883189026
50,82,0.010842754219774741
130,72,0.013919626873918067
117,137,0.018797734989325996
56,163,0.011359035510125853
192,191,0.010307810805651768
184,35,0.02553485479451207
28,191,0.03146240523272454
133,80,0.0116729202986285
56,164,0.014146577940790661
61,39,0.014481066313940177
22,199,0.020420340090242566
10,95,0.02211620332990691
192,175,0.026482475022675457
40,79,0.01974760339836884
83,122,0.020555023387272425
62,158,0.014715734813394086
11,26,0.018109863542896027
109,154,0.03299514541516067
80,17,0.019595492559920435
84,124,0.019160031398948688
46,98,0.021058162890059157
133,70,0.02374210705029607
109,123,0.014438753420339168
61,10,0.014168883249873736
9,185,0.02531856656831687
129,115,0.005506317249512697
2,72,0.02087458806193374
110,128,0.016720571448919704
80,64,0.022848624028209818
138,123,0.02243145000988126
200,131,0.017083603438067082
6,92,0.030118480980354103
170,198,0.026107891430472145
47,114,0.02151042349416294
165,193,0.016500863249920013
133,148,0.020481288010289492
113,165,0.022413933476502876
112,19,0.016375051283005426
79,40,0.017421485491777567
199,179,0.0032170086527981735
60,91,0.013930447568953185
112,100,0.01660083727143647
156,11,0.016908105775841148
138,198,0.015954019634129315
29,122,0.014785160832636084
196,136,0.024783355835725038
111,148,0.016955522451989793
181,116,0.022815411631666276
196,169,0.02293076408055931
118,161,0.03366216569816486
135,196,0.005595355357149218
32,108,0.02802459570238823
18,156,0.015019290892978697
36,191,0.02065233115206631
197,58,0.016813799857376396
138,119,0.01682796732830713
3,164,0.01834045621567674
116,93,0.017783761395732824
65,136,0.021389477621863908
198,119,0.017872107439540437
75,34,0.011743515850506023
107,3,0.017420256191077964
54,4,0.021398993430193358
92,127,0.016466521306360615
97,196,0.026668273352548354
158,126,0.017060506214739903
27,13,0.02438461366422349
109,133,0.02938632305562499
6,83,0.021692200472256264
88,21,0.024815948404724633
25,70,0.014403811018835838
100,105,0.03884284115293324
125,76,0.03179470779404239
128,19,0.02022730573356384
146,54,0.016396967190525996
187,40,0.019913322838769842
92,22,0.010156756828640357
110,40,0.020051001663438615
127,189,0.01815513462942352
81,187,0.016905004326549188
124,103,0.014867332296046042
11,133,0.017830560850196287
177,133,0.019368702793277952
111,194,0.022966039843525164
86,100,0.020326892788701836
23,58,0.023689096841900383
153,101,0.003505917792210836
43,98,0.016027413983083525
12,105,0.028671682223694747
6,68,0.014579544163489803
162,134,0.024919260891160686
37,152,0.02319951422349291
170,171,0.015303625248726662
191,33,0.027092567567738434
120,123,0.011647041852663152
142,119,0.017549735096995183
13,109,0.026766857175659808
56,48,0.0149089411007641
160,166,0.013855598770863665
200,83,0.017319424314122894
124,106,0.02633792817579001
185,12,0.017610525447485603
91,97,0.021763572910958658
40,138,0.01903025880110621
186,187,0.0225629864805009
126,20,0.017605842258229656
22,13,0.017935619161289433
121,184,0.019453553314646564
5,101,0.019653257668682513
12,67,0.023134573360932047
24,60,0.023536993245758683
57,134,0.016838971788696658
186,53,0.015631755502252133
66,186,0.025611113640414847
66,141,0.02894293429291348
131,105,0.021125966397638796
66,15,0.012342075698601462
17,162,0.030856814659692325
86,40,0.018919921769223955
119,88,0.030121287991053215
55,119,0.026691937327183002
171,110,0.02515746431077178
23,89,0.018004193398562306
50,137,0.015314642707708484
97,68,0.012144478619107486
136,12,0.025127679883766248
99,101,0.02777670318402625
18,30,0.02388953306056112
47,12,0.027634976454775396
164,89,0.02489086554930365
125,19,0.029151221527563748
159,75,0.02614607144105041
89,139,0.024475754500577804
47,189,0.012166662094133808
190,183,0.033937703232857344
173,144,0.021488133396424986
121,162,0.018019801984056876
2,181,0.02459428737965737
99,151,0.0393098492620548
120,64,0.023097699591826275
144,117,0.019582459216682148
144,144,0.01496916131950183
5,28,0.007497963897335478
159,187,0.009875816180999546
159,47,0.025582429345205
188,77,0.012595544145374567
52,64,0.01213444245658833
127,136,0.031032535630512597
38,152,0.028152868963429376
136,163,0.020723619604529234
166,173,0.020687247675462074
5,27,0.030148724889022035
20,11,0.020317961803959134
195,197,0.015922179697717954
137,99,0.007707490993588037
33,191,0.025659497629087688
181,154,0.021189548985838084
97,181,0.01621472880244059
149,92,0.011496873290195704
62,146,0.018188315920878568
20,116,0.018807812149674825
35,133,0.025105664903077723
189,51,0.025423626490751562
175,177,0.022762287346064124
67,81,0.02556576639987035
94,101,0.02815627542918465
96,64,0.01083501734156413
81,123,0.016435511769066578
132,186,0.016840412184045736
121,72,0.02746105807035303
80,22,0.011693150228528893
134,69,0.026855300827670438
113,67,0.020232590941307686
119,13,0.0223416871754393
169,21,0.019257753631532922
1,32,0.019717009963632976
114,154,0.016810918556726975
87,29,0.019859966872198324
194,63,0.012915417550543304
120,107,0.018542498878786045
102,24,0.02442199176717196
109,53,0.017515527841938258
82,31,0.01277340705858667
149,59,0.0232747880746031
194,149,0.019662648102871196
107,146,0.025740762447974873
29,72,0.019938274280751435
198,63,0.03062181540116941
86,191,0.02324932597953055
188,193,0.02333575623162461
55,2,0.015483583433978008
93,165,0.018357047801206075
99,116,0.030635990714059834
45,72,0.031405564309482506
19,167,0.019423038410678085
67,38,0.008879749535780813
67,21,0.02781544521878675
66,59,0.03390314917153907
24,26,0.025750183121191296
96,172,0.01398157488204876
126,65,0.012537061300852918
60,3,0.025835710787092105
79,160,0.028249789416431956
12,56,0.027846028993479877
10,193,0.026941742320831442
73,68,0.021643719748626566
39,143,0.025684658303445546
18,26,0.018598631331814667
197,59,0.026543267060244888
58,58,0.018502453879805602
147,134,0.022443277363895224
146,52,0.017461644333460598
125,33,0.022023752931837635
133,128,0.011250183587881388
40,53,0.019088851737464812
54,113,0.025693638235982277
30,1,0.027938174158211142
185,172,0.009351317343942846
56,169,0.016801370105138932
82,88,0.018053965788052108
52,105,0.015022336903897093
4,166,0.00885685244604921
122,186,0.019589114199330415
199,189,0.017776639048540332
59,116,0.018776706099613613
199,126,0.02142034139229134
184,98,0.0211750545898939
86,193,0.018935504163935923
15,156,0.021786913753416872
69,13,0.020849656782459623
197,171,0.008709488263381427
170,127,0.017179438839829125
103,136,0.026485300278837776
191,182,0.01664527043611512
137,66,0.005762954293549578
178,44,0.02165977401189157
161,132,0.013574989166318505
166,126,0.03134248415115113
73,65,0.012755342618452886
29,138,0.020756364725604798
75,192,0.006779063913450076
182,67,0.013031733234021924
20,88,0.021740932834913865
173,147,0.019727963675129297
52,54,0.018559909152353032
145,91,0.020966687256346348
49,184,0.021025613062028332
160,71,0.020998202517160225
178,88,0.03356129127920195
70,7,0.022377054705644443
138,26,0.03175312849330609
59,31,0.018957075090438313
137,25,0.009879185615549678
175,139,0.016599436362243817
159,129,0.024648866624395697
158,68,0.024286549746027942
9,41,0.005979309067870768
144,118,0.020775811323943058
44,128,0.019446141647591696
92,57,0.01330881281582188
56,63,0.023958348951510812
114,85,0.024906486121720584
23,134,0.016845714105105398
78,191,0.01752349113249553
153,107,0.016958874502795082
61,107,0.020233331193419794
135,97,0.01078703498960982
16,153,0.010809529499095522
45,82,0.013956350655672934
163,66,0.017135673768799552
24,154,0.01669471452805231
197,61,0.016680067095513663
1,127,0.01644964159112277
168,2,0.01250290946902193
51,52,0.007047633231876675
98,190,0.02265970183409546
47,165,0.01422321528337309
127,143,0.023260990870260713
91,18,0.01714342824317546
70,3,0.02818504950025829
134,106,0.007943968501824189
176,40,0.006379593401169172
155,129,0.017134407268107645
175,196,0.027047047614512494
152,32,0.02465504561978806
176,52,0.022952047235475195
74,176,0.01591881445910826
37,60,0.012550514326333955
151,117,0.00875005325281612
144,193,0.02560641108668312
72,109,0.021917343010851163
184,2,0.02205750860028792
179,199,0.014104706619763816
187,119,0.020739316532756465
41,126,0.022240638584858703
30,63,0.0166682642494837
92,51,0.021839069991789188
3,70,0.01391088282346085
182,163,0.0282387184250973
82,3,0.01058155596655191
22,76,0.015645393340295067
197,104,0.010954312228173972
137,70,0.01466143820128745
61,193,0.02067717177271616
34,83,0.027372287207040893
18,48,0.024802629537688668
78,52,0.027947091442670755
122,75,0.01869408646527773
38,95,0.03204559822719961
86,197,0.0170023867974618
10,43,0.0236947555239673
40,182,0.027998026076637643
105,118,0.020667736702781696
55,1,0.024953028902868914
61,171,0.021348908595498952
33,26,0.02460734690716184
100,100,0.018215110630388203
34,80,0.02054664681323795
116,49,0.024892502846134878
12,156,0.02094566472442509
1,179,0.01993076639413693
137,78,0.024196492346784282
51,177,0.018355613260092565
135,19,0.014999713112384253
87,111,0.018230944190608406
88,16,0.013643215584333027
51,157,0.029426348999417505
52,108,0.019087892932480605
95,103,0.01143455119966297
120,180,0.024020101420721314
95,123,0.020080574188163055
71,167,0.02289215947161802
35,4,0.017460088577545305
150,63,0.018185992017020928
177,129,0.013212490101475866
142,35,0.009269644457083346
97,21,0.011340915419477548
72,13,0.03242580558335394
14,14,0.020303304507102417
175,152,0.0036047858862510163
152,79,0.02641487117636919
182,65,0.02238032968434135
86,24,0.019039393694117952
186,102,0.01584186055208513
197,91,0.012962729115129074
157,144,0.02382649841068398
128,29,0.0207437779121596
67,160,0.011771571609597142
153,126,0.014716002436004717
122,42,0.01796192763307606
173,162,0.028397947472967214
10,128,0.017077993220150873
160,16,0.021106182173083816
51,190,0.025339900200503668
83,179,0.016935114725830328
52,56,0.02974084364330289
101,34,0.014782992774415063
30,88,0.019187825197044227
146,121,0.02342288827559614
69,12,0.01815716440067643
46,116,0.02671763173188626
31,43,0.025187749884868812
191,107,0.010207447961061867
109,48,0.008887088935394324
92,106,0.027292344071293433
181,6,0.013977769366789945
114,126,0.018032651418571317
150,178,0.00939669790799148
18,132,0.023438205444586937
169,193,0.020280670707355567
147,55,0.019015837320245466
39,1,0.026961434413346655
151,96,0.01321940067317167
13,200,0.01702411197330407
87,69,0.01649706700708916
178,98,0.012827852790920231
142,13,0.01058709919382671
98,187,0.020482022214290567
161,109,0.02079440981645219
170,45,0.012766339745270942
147,47,0.01150371939558854
125,80,0.016621255693988344
85,138,0.013760590446332498
145,174,0.019380670744111293
174,127,0.02157214709540471
12,119,0.013982064243087147
7,1,0.029371182569245695
42,176,0.021781129761502177
19,10,0.01956429633697185
188,44,0.031006022126236495
109,33,0.023240397154953057
192,178,0.02114532655027728
98,178,0.02252449331731529
59,161,0.02080954003430626
196,117,0.015473134032669991
140,190,0.029959312648581253
87,24,0.021716327730656477
56,200,0.019437916579908166
195,193,0.013151655114512628
19,2,0.027211855184565495
157,127,0.007464224819832261
138,69,0.0039218126991077094
8,6,0.01664059919800944
133,108,0.015085492972184637
121,185,0.014056945262338175
157,12,0.017743498381299082
190,167,0.0120364834284119
87,135,0.019564833582169042
171,175,0.014813887174953142
175,68,0.020367483707058237
182,163,0.023634935124866266
24,169,0.019042383277097494
49,155,0.021739476776998317
165,67,0.02758729004392144
110,175,0.02346801822324152
40,9,0.022083419074606793
183,29,0.02278101468276717
23,87,0.023484821488921878
5,82,0.016878256372880325
8,106,0.024134281313366392
160,37,0.02262958192772558
77,57,0.029680468119756068
25,44,0.012160183134021401
68,37,0.019830576588943487
92,62,0.017130449813062602
91,92,0.022932118975223452
134,147,0.016457914884084556
179,177,0.02089275400917233
196,67,0.0187213796968813
91,103,0.01368466999311464
12,41,0.012389493159514868
142,46,0.004277570908666779
181,181,0.024085770716303745
169,119,0.02283826070061027
167,111,0.010203581952161991
190,146,0.0229707597327981
132,108,0.01663261004862749
33,22,0.01253324945227197
123,106,0.011431294643024514
14,171,0.014821629976801698
82,4,0.0167358716375898
148,60,0.013675658399195849
178,175,0.011842091495696715
99,4,0.025742087163308884
160,1,0.015497802570120027
22,166,0.021931518696558225
4,87,0.027822505826661896
8,180,0.02520175198745
197,73,0.015075384562834311
106,19,0.017585258594642723
155,3,0.020662345610656187
107,166,0.014775783980120746
139,35,0.023266658917884965
102,189,0.021263669707582623
112,84,0.01677828539422309
187,175,0.02081215936885021
199,31,0.009623814590402917
64,183,0.019854356263549113
101,37,0.016514736009241155
7,17,0.020175017484592803
161,104,0.01469750504817507
23,58,0.02290497118314905
44,106,0.011712360941492462
172,130,0.01690735523934338
13,149,0.02870731181503527
56,75,0.022580302438299366
148,23,0.016205233815440655
199,137,0.01825011219129903
44,94,0.02431900739331945
126,98,0.021440191573256485
187,182,0.018805473416153594
100,20,0.017040155706072938
162,44,0.015359042327009777
1,62,0.012802986274618827
170,72,0.016934139344508103
67,150,0.02247372979561766
195,181,0.022762181508266942
85,152,0.016738409923102167
78,28,0.017904655630884992
119,32,0.013713075744571711
27,2,0.019081572323400717
28,72,0.031197826987416646
35,171,0.017560074044341515
22,65,0.02247463496159001
193,38,0.021438195861901436
122,98,0.025954647456088716
176,106,0.02457468142259233
151,31,0.011876412531783434
153,102,0.0243855301969576
146,76,0.017371921603078985
135,46,0.02089922971669723
150,46,0.020988782388483274
198,6,0.018605770866200636
121,37,0.021781471190051242
119,177,0.01709711885702462
142,84,0.02100803113463527
102,73,0.01997345864916149
148,65,0.022439026819722496
106,198,0.01955472553291482
