X,Y,Value
195,95,0.03418937083791345
61,144,0.027066890739764787
146,8,0.03605234586479274
122,111,0.036672229956621234
80,111,0.03973390635149899
148,52,0.03492088677678461
23,58,0.030072657743563803
166,164,0.029964491589434452
183,152,0.033621506631581005
32,37,0.04008650538800284
33,116,0.04470169688645784
94,166,0.04611668951580626
66,78,0.034231606033174315
61,59,0.04446980868122408
5,160,0.028250650625325776
26,32,0.03475172125802586
196,125,0.039782732084018745
82,172,0.04178081546535627
198,139,0.03897178144403694
140,160,0.027150776596115457
90,39,0.035552572019967504
49,151,0.03603639670818329
79,169,0.04746267286258524
47,173,0.036270920630566784
192,20,0.03623810669535696
14,74,0.025642340565160036
187,93,0.037187750181276805
4,157,0.03577261208399526
151,25,0.030844728977620063
121,42,0.0391286844351306
172,135,0.03501795145060355
101,191,0.027869029393376793
109,26,0.03661585094426185
79,139,0.03987947033355609
152,139,0.03169340810416627
89,1,0.04044615088536154
81,159,0.03628607582652384
160,61,0.03809573329795513
93,10,0.032412250308577355
44,6,0.031240205927919203
176,159,0.03414047532447659
183,7,0.0355972975603807
59,53,0.033733824262041676
37,119,0.029839862046719328
175,85,0.04413577519505953
120,42,0.029926886000097356
63,36,0.03737855435483137
81,103,0.03094587562217637
78,65,0.03616739449268526
100,54,0.024879343916692463
95,159,0.04382278272112305
195,154,0.034426428469294106
178,74,0.03655443032420562
187,164,0.037899528961144735
4,139,0.04383711245633837
1,192,0.027205889146070444
191,2,0.05002297795074574
190,130,0.036525297605317336
72,135,0.030474714311913054
107,52,0.03249623363451497
138,65,0.0338665016839779
82,57,0.03999091745578362
178,33,0.026625869543913414
86,3,0.04021666286817534
65,28,0.0268668747320496
181,185,0.04708810023691705
160,176,0.04149055538724958
17,91,0.028941616194313815
16,47,0.039741069288051004
141,63,0.03469661819892504
171,129,0.03655385867414501
147,110,0.047890772763411346
110,18,0.0423221572734668
44,158,0.03338664353214964
145,94,0.03614562478595468
39,34,0.03513142347346149
199,123,0.033986253707712896
103,74,0.037050766563111036
142,162,0.038841270111072544
101,175,0.044514327257957204
183,74,0.035543140927560155
