X,Y,Value
85,112,0.03147199178460806
89,49,0.0344113391654435
84,171,0.03846122061614082
50,78,0.039638787508234775
61,3,0.03496241364706204
161,140,0.026798390340825585
43,8,0.029758169256879095
125,40,0.035334304554813296
3,135,0.038899804781777375
83,97,0.038249295661621205
112,160,0.031018507591175453
58,81,0.02876567893611915
91,185,0.03150038619284948
187,194,0.02541693520966056
183,113,0.031747228732278525
197,153,0.02407531841639044
198,136,0.021554369441473695
108,77,0.02175863840674629
2,138,0.03212301556944545
8,133,0.04056374332894549
108,102,0.03492437457577776
87,169,0.034711304332080695
133,176,0.02890602384967324
42,132,0.04245640911546402
79,68,0.024142168173621095
108,101,0.03824190627090146
139,59,0.034540831066288136
24,116,0.022453229559334053
81,17,0.030356158462665508
87,190,0.029998900112977636
164,29,0.028668201726447653
14,63,0.031088533147278673
73,95,0.028827146364035
27,34,0.02657936976426952
114,169,0.021760365828573262
80,160,0.027867408939171005
80,192,0.01912929290821551
163,173,0.0320878287993278
38,189,0.025787321213691396
54,105,0.03339847452584803
121,97,0.033776319179105785
18,61,0.03605270051358066
48,56,0.037549905042112364
40,44,0.03440715449888195
200,178,0.02177399960383642
106,158,0.03568978681248015
189,169,0.026623413780639493
169,174,0.024427769351105234
11,136,0.03312025977955062
34,26,0.028872163801895945
162,109,0.023122282246923944
47,88,0.03204479677133682
112,192,0.030802545996741013
122,1,0.026903769627408466
179,31,0.031278695677661374
24,122,0.03668267577549013
37,19,0.02715151042033952
32,146,0.026941588178316638
165,128,0.02521674652034595
9,11,0.033025981808221604
184,70,0.026317676685498025
20,167,0.03115864176450603
141,189,0.03652721305287871
140,172,0.027198670797294305
159,13,0.02861775834097873
109,163,0.03153489548980246
159,200,0.03774906397478965
192,136,0.033413026113175946
39,96,0.0301381403779419
34,110,0.026563785630919576
39,187,0.03648068453141837
37,100,0.034310019554854757
83,170,0.04205593088562088
104,5,0.028247188552516896
106,93,0.039147925446418666
152,111,0.028866339267535176
44,25,0.02854089392793532
117,138,0.03622373001029349
138,181,0.02683650141582153
87,153,0.0335929472837309
45,119,0.026799923703832523
50,95,0.029977844678325843
88,195,0.033641294999739946
89,82,0.017214331877574627
8,21,0.028186772709896564
106,140,0.01434220537370124
126,163,0.023327803925262722
64,140,0.024907778624068254
18,77,0.03581577823801091
53,190,0.0348259281093401
81,53,0.02801861770053477
36,164,0.03243840798480512
141,88,0.022538550864264824
132,17,0.03242962633622455
129,20,0.03960285392774009
131,137,0.039948882320368424
29,61,0.03376797607743148
6,169,0.02750061791654898
81,45,0.030679024047446643
70,1,0.02188612366804084
104,49,0.029091912654570524
185,71,0.03315843927561804
144,79,0.027924531820808958
184,36,0.028452995952017994
160,126,0.036263719490353535
68,143,0.03500001302563819
138,15,0.036313990301666106
196,169,0.03245635815109748
149,73,0.03624062538169859
1,49,0.02759935174724142
55,118,0.030730796007177357
65,53,0.04848640662508204
103,80,0.03154657731821224
131,113,0.02815171079277193
186,114,0.030231117520058696
118,100,0.038514201026494325
171,53,0.03404535361367644
86,16,0.03582822778057494
193,167,0.03834868025196522
58,3,0.023962359805845584
78,140,0.0316581516681712
112,42,0.03803294132423708
143,154,0.024547458509383373
188,101,0.02936211041579719
29,172,0.029369826612629338
58,173,0.036160519563449456
47,84,0.03263795352727871
41,181,0.026174805170882005
141,53,0.005003939853952803
57,111,0.028482647342395372
182,121,0.03374235253073238
48,95,0.02381362182672478
99,22,0.03710563335814332
73,63,0.029541993761724325
187,98,0.031178065888504844
78,8,0.023354499845810082
7,54,0.02781301812654639
85,188,0.03752954793373269
145,15,0.029189809826847657
179,122,0.03881505683718036
73,91,0.026965653391603554
10,127,0.03038616714042177
101,163,0.02961354956704368
179,134,0.027132859360090255
41,57,0.02531378585857389
79,102,0.019682974774990477
124,80,0.04111152797157569
187,174,0.03426985324208551
95,16,0.03738878836625398
83,196,0.03440123144916199
162,131,0.037861149454374764
73,190,0.025241135407797967
177,13,0.03447198600191672
17,141,0.03671326679541699
42,13,0.0161124464449708
188,145,0.028632344603678236
178,125,0.02484242770252079
29,96,0.029746007731443893
13,199,0.032270277470464556
92,127,0.030123931349645354
145,45,0.0267113605662814
29,80,0.03532009024628168
9,85,0.028131171039718624
95,39,0.031137529618086204
38,101,0.02993987606873304
57,119,0.020833125568743588
194,139,0.03389542220459992
74,28,0.030325217377532708
108,112,0.023260764255400756
136,147,0.03989450242945159
44,171,0.0271468940883004
171,46,0.042396520838028605
193,110,0.036224049178521664
188,170,0.02593856922286362
32,187,0.03980539587539918
172,58,0.02456681694897849
27,62,0.031904881322810795
32,16,0.03086628958199037
29,64,0.03635946436324026
7,175,0.03268058433813872
54,16,0.02939842786320661
