X,Y,Value
152,86,0.03458200758887289
111,130,0.023912016465185672
170,72,0.0289351528309865
70,107,0.034034501003046516
151,69,0.03061944956754711
82,82,0.03116459716086456
142,107,0.030031218209705182
142,46,0.0375435267736208
197,44,0.03390280449235746
81,14,0.028301837643323113
137,146,0.02197933380390145
88,126,0.03521185120091127
101,58,0.028428909989435636
195,115,0.03200365354692551
90,167,0.026689250603333697
199,143,0.03659353415182627
13,123,0.02164592490333235
160,134,0.030639716822899336
30,126,0.03597994139977166
103,139,0.022068279029956284
126,183,0.03553437466120655
44,149,0.03010936371835278
170,124,0.02747883119601828
58,38,0.04304215447189377
148,84,0.025716964761280686
90,75,0.030651528533832892
32,16,0.032128257788038024
106,1,0.031007860754336328
196,101,0.04000620128428841
36,24,0.027571825448330645
118,142,0.03155636855136147
81,115,0.02715611732998588
10,168,0.021764577464222633
164,22,0.02788295405780484
162,20,0.046704604598797564
162,131,0.032263551908899346
1,133,0.03730193096958115
27,131,0.03652031088565682
138,14,0.031806733997611567
155,57,0.0398560777781278
35,48,0.02932655729776941
4,145,0.026208308284013968
57,120,0.02523304832165827
144,48,0.027807061053186338
92,118,0.02913484786449476
105,112,0.031776706046054246
180,192,0.027065967231939426
19,181,0.030846675776075784
6,148,0.031301966872077494
142,140,0.026024944726020797
149,159,0.027090091744353735
59,118,0.025122212606117945
176,121,0.040315039475929126
109,42,0.03177150648418355
148,194,0.032543221351498654
90,16,0.024576800241563383
102,97,0.02221325384516444
136,8,0.03468682718775223
3,137,0.03438965333901466
48,168,0.029035585870705042
87,1,0.024581786010247218
71,39,0.011423716266327034
193,96,0.03811390438425721
133,67,0.024898681100015498
131,135,0.032520673908201424
164,190,0.024981446977975514
151,174,0.035976504784378464
97,146,0.019451455869898736
98,83,0.0205830600536045
60,185,0.031217693336183315
140,126,0.0314765709251853
136,58,0.03746469324748208
87,131,0.040605402207919986
145,162,0.030895767152468948
171,104,0.027108884336343713
30,125,0.03814657717845826
91,2,0.03216099977287322
57,104,0.03824483887644214
151,59,0.02443518322072562
5,187,0.032666785731853325
197,150,0.03053719710161778
134,15,0.02460795212987494
165,14,0.02338320843575029
194,169,0.038779593881765696
17,132,0.03086238473467546
190,168,0.026927480394861533
120,22,0.040641282864585473
8,15,0.030699633042197774
81,23,0.034297713512026234
184,39,0.036939803390212494
36,147,0.040931320096705574
105,67,0.02958826518484526
14,130,0.026043924797883002
178,151,0.027763584770751963
58,122,0.029013154822192133
78,15,0.02604411502551128
84,44,0.03720953133701199
7,112,0.024419540160998524
64,5,0.028336988582230223
146,99,0.030414246759646348
150,145,0.02183986711374975
191,4,0.029076155779209127
116,3,0.019937937506037694
49,64,0.027984078971723714
165,25,0.022912969912245857
7,159,0.022455469706983172
58,18,0.03959564990358362
110,113,0.02815846228792419
110,152,0.02520775870442872
106,8,0.02768052558770848
152,100,0.01921927345119409
92,45,0.039315545486920844
28,194,0.02027429361152592
174,55,0.02603092566362969
170,156,0.024517371943784453
118,167,0.03633048771843528
164,199,0.02861790262612369
172,73,0.02284213708267048
69,112,0.03001033282425322
197,4,0.028072993056814228
143,173,0.027999430681522032
141,77,0.03746196394901815
93,97,0.030252182816735286
168,63,0.02780597350564777
142,73,0.024263553371487157
19,7,0.03823185266972792
31,49,0.031050626141869507
173,23,0.036286181754881505
22,30,0.027317701485653014
28,144,0.02969333866227127
84,131,0.02948213762344351
154,88,0.03233846552986413
25,104,0.017416471690467325
113,131,0.034968014649974295
20,118,0.023120050789995565
107,125,0.03415598213057117
85,120,0.02868826041177303
141,58,0.043390694055634955
16,145,0.033005850104121374
200,71,0.022693992934393795
186,114,0.021753777663112914
128,7,0.01526018671606075
