X,Y,Value
147,188,0.03135004171630155
102,127,0.02562793398526159
125,48,0.04311192986277393
178,119,0.021678714600858802
19,5,0.03128703228960824
133,129,0.04105289703369814
186,144,0.032947817947632366
74,85,0.028848995799650556
92,142,0.03917158409474531
164,84,0.031232591368232657
140,100,0.03305504629205013
123,58,0.03638854318786659
19,123,0.033420474717850375
107,114,0.04436735302992875
167,11,0.0350188155758182
154,197,0.037649893983502276
179,169,0.036051782958384966
98,101,0.033918901164151256
47,136,0.04368715231733941
16,54,0.03681288668033919
163,24,0.03936299174236837
67,21,0.032544250630640884
82,48,0.03630790875582631
144,178,0.029007865677714136
162,179,0.038171328422195484
170,28,0.03081138309256852
185,34,0.035363547339127534
119,109,0.028127544593388287
19,180,0.030554671322998137
15,169,0.04783775840494327
4,167,0.037648368763903
89,186,0.03369875558948465
42,182,0.0392890732733554
46,162,0.03533936026135819
109,117,0.043767441663702195
175,48,0.03493340547079325
126,153,0.04540242763195048
187,109,0.04305966170404941
42,70,0.03365427011672896
189,183,0.025364540228864467
112,57,0.027875797147545095
16,82,0.04319687403572246
164,99,0.02934395493788417
38,73,0.04065425715329662
155,31,0.03244175969722446
97,58,0.027829571991033517
115,43,0.04893737621044415
33,12,0.03144803880956209
172,78,0.030423794993912394
56,180,0.037979129911960084
149,93,0.038501629810529535
137,134,0.03502531797238285
84,15,0.038354739264113785
103,172,0.03258850152806899
58,187,0.030633934356643057
122,53,0.02659762714504383
108,48,0.032031107941592925
189,196,0.02619654336250246
19,75,0.036919185617548034
5,105,0.03902158902532397
156,14,0.038171704077379076
38,137,0.038472885262917526
75,97,0.04099558898838588
9,197,0.024827994563730537
58,77,0.030876483374797464
119,21,0.040497109033100914
181,46,0.03441391374960998
114,200,0.033926987091643976
196,6,0.03616823031198083
184,130,0.03930208266155342
43,113,0.036547465067459504
91,162,0.02188630529052319
124,109,0.030557017321188464
78,122,0.03606995969299914
49,186,0.04187879884681133
48,174,0.0418463653807827
173,190,0.04025178016114297
152,195,0.04760575839531349
136,142,0.03902526300396252
133,18,0.02160585903649424
6,184,0.030814791926881697
60,77,0.03746310546540209
192,19,0.0308284186567442
90,75,0.03383197205411381
141,169,0.03715906189004164
17,58,0.03515821790250423
15,64,0.034811155869540776
171,22,0.041214550984259406
174,190,0.02369520736439327
183,62,0.035728950066900134
101,78,0.03380804967132891
150,17,0.03668182858980718
143,4,0.033715756803651194
160,80,0.03242674326239352
45,65,0.03327521085431334
25,193,0.03971576739003006
53,191,0.028645078985737836
85,167,0.04289609492943435
121,73,0.03636207880228048
124,39,0.03272401100077631
174,157,0.035764943923773204
191,84,0.03729868341368337
11,145,0.03652440560208466
55,193,0.0411431734343914
87,138,0.02799139843982202
198,40,0.047616589213383534
97,121,0.02726847897910181
165,6,0.02608422799867474
193,70,0.035682677189722185
68,90,0.03280518986218037
104,87,0.0317862458297888
130,168,0.02834620133293121
37,184,0.032035261334064535
169,8,0.03245420516362082
62,23,0.0384732114506241
179,28,0.035581880093654566
21,76,0.03144682853413905
188,2,0.03141322774578471
143,194,0.0355620960634533
44,160,0.02418984571929686
181,186,0.026771807438252616
109,126,0.03766172811034803
58,117,0.03576858782121192
184,28,0.034502463163376365
20,46,0.04429567980300764
188,4,0.03439453187597522
52,46,0.029833150458788815
94,36,0.0438670930336593
167,197,0.039727762531522076
15,158,0.027868243918100867
148,164,0.034358328824684446
77,93,0.024200085256082825
20,33,0.042063989625208444
114,124,0.03446936106409011
55,41,0.017819456474618044
133,13,0.03460132759878841
20,84,0.03623044322076382
145,136,0.040221424698288495
14,63,0.034390776287161494
16,109,0.03702322796693778
144,141,0.03078845923868412
3,169,0.03494314382161722
19,63,0.03822860335072382
83,174,0.04655455001593113
180,39,0.035689854436084835
15,14,0.0420623677101799
174,59,0.02779409874958328
48,8,0.023740924049037024
18,147,0.03882671543785175
152,196,0.03219996715125475
159,105,0.03986091498212718
198,80,0.0368531641464494
144,185,0.03320878774095168
151,167,0.04115786470899982
72,3,0.04528918240131732
49,6,0.039921819714312565
89,10,0.033465362235276276
113,147,0.03378126232811513
175,200,0.033901227155141773
187,5,0.03294103662766284
123,127,0.024707536752474512
3,188,0.03266334631741139
118,9,0.0485572947573617
166,195,0.04687158084333613
37,172,0.043202154285992084
126,192,0.03334973607322469
200,15,0.03647513733238447
35,91,0.030727795592770776
186,11,0.03385216707031841
143,43,0.03595329681395563
25,164,0.03635902749195513
166,50,0.03219052079638215
156,99,0.03851985426531714
136,19,0.03135109498541748
43,42,0.04246915507112545
157,151,0.039179991341072445
75,1,0.028779733004094102
169,49,0.03265271018919256
40,128,0.04177897103935068
62,87,0.0340254194186435
143,199,0.0441273885633292
108,136,0.037716284058420466
194,73,0.02321248132758799
13,174,0.03603289002362783
122,61,0.03869232730197311
165,20,0.030038857387682565
71,66,0.024459024803109488
85,38,0.03690329297525166
175,30,0.045703016229481
173,160,0.04038590559867895
199,27,0.027338955434886972
136,66,0.03861273433316356
58,44,0.031556373362249514
50,132,0.035010537753979575
173,63,0.027450144160048623
148,67,0.0411296937426217
14,36,0.04368253079131092
193,160,0.034696354438898326
86,59,0.0314854424894545
16,175,0.046309322794423166
162,13,0.0395438226597878
140,84,0.028229054048494812
72,141,0.03787494286763071
197,49,0.037416329621849806
50,157,0.03886409713199412
115,127,0.02970771763434322
134,185,0.032248302110221866
63,174,0.027195064813300782
148,151,0.03896415377082457
130,67,0.035615976133992956
85,5,0.03297889387536955
116,130,0.0359207472952817
187,99,0.04411446030057161
95,114,0.03707558848289436
17,68,0.033723041084130816
45,163,0.03859217404286751
116,194,0.030506290003951053
6,197,0.028899911546592827
176,31,0.04046818491724133
180,191,0.023735863965780223
161,177,0.03931709962637204
9,66,0.03431283099609459
106,137,0.03283165652453514
22,149,0.036463283959391246
94,78,0.027054210402358128
84,173,0.038065405931647416
107,2,0.026643848367013036
181,109,0.028905310573757215
173,198,0.038743885862886934
103,74,0.03380073568544881
17,31,0.0338029618042514
158,58,0.037694992172627013
180,131,0.03505505607475668
174,2,0.03818054635582635
171,27,0.03166095784553828
121,128,0.041025421056963066
172,105,0.04204359175440264
7,157,0.0413658129569413
92,79,0.03605389603710741
156,34,0.029807378093143443
137,153,0.03918549118699489
118,152,0.046835577477481884
69,57,0.034810020342349264
31,163,0.03888262257836341
136,41,0.038587700780127944
98,30,0.03274539221534607
87,39,0.045881740537885046
113,158,0.04556196473918241
34,171,0.03080907895945091
8,106,0.033501482190244264
166,153,0.0335866055215583
144,64,0.03245653353528878
144,105,0.03522896469943709
15,35,0.040933203540705
83,44,0.03313668723398643
104,7,0.04261017546435035
77,158,0.032402985789718064
148,156,0.04110193566554247
7,37,0.03762742013553326
58,143,0.03705651374971049
155,5,0.027568753364329252
128,175,0.0251018991495513
73,52,0.027906369620880105
195,95,0.03310228379363371
174,14,0.04127959718675384
61,4,0.03806807645340456
74,47,0.03220210313556205
144,166,0.03375443023318999
11,1,0.029575523237868905
20,130,0.033009314521981824
194,193,0.036880489120791164
146,195,0.01800470278491262
66,66,0.039725297326922294
136,177,0.04498537692769812
200,173,0.0463867747418906
67,117,0.04227079236890764
164,123,0.043035090715922764
50,140,0.021891533516409403
25,4,0.028055957833975652
84,42,0.03303109671542335
105,83,0.030175798002351043
187,180,0.027098830028914646
180,198,0.044768787590380194
25,1,0.038892005916280684
168,103,0.030800048796475007
155,22,0.03826587525396742
47,73,0.045424366657984085
123,28,0.032078969704846874
102,98,0.03151695824476028
145,151,0.026303247085398246
66,158,0.03752067764467297
154,178,0.035398230874552246
188,47,0.03561953487563608
132,182,0.04779994256358551
25,173,0.039499512437929214
113,13,0.04738967901639456
124,54,0.03990982844509418
55,95,0.03513974779894144
26,131,0.03492761421437375
77,33,0.033440464482539886
125,104,0.0430367100677654
67,141,0.037977187885430315
107,189,0.04569363138373016
107,117,0.04374783410443914
76,65,0.03743682933486175
69,182,0.0322774296031512
89,59,0.033095799563296516
15,166,0.04235848914776817
131,1,0.028728185259532704
70,84,0.035575722834759654
38,49,0.03390024513493615
108,88,0.025197112598707397
22,75,0.03399704337519327
172,154,0.03335770923362866
190,62,0.035748648416927056
143,164,0.03993160698252935
21,13,0.04042867958318699
180,50,0.027850115916921984
199,90,0.049183748832071175
169,20,0.04220981171937295
135,196,0.028702410363436643
34,94,0.04650325083435024
179,103,0.03786036241570324
42,124,0.025507880070397386
38,97,0.04405275559689609
45,131,0.03973578484193904
117,135,0.03293934734700706
44,28,0.034256728075406744
27,60,0.04216607977133703
76,64,0.034939933834762765
179,118,0.040789244936661265
44,194,0.0288041093233187
119,146,0.037439560653615034
6,84,0.0302018932178406
129,129,0.04145554347451281
165,189,0.027839584165797956
191,152,0.028583092253275846
39,64,0.03234451190585952
71,165,0.02779669210018908
3,166,0.04621855340885714
117,22,0.04204742571931347
194,120,0.026459054064739813
100,136,0.0435157274446379
198,130,0.0425533623493321
93,93,0.034936868533463006
168,142,0.037407759813558816
46,40,0.0331283623968583
37,71,0.04279271073894792
157,195,0.03596538889004031
151,171,0.03500750853217972
153,81,0.02764721505015154
113,78,0.03845660283890222
12,159,0.035179468344369184
150,154,0.03176822716841478
40,143,0.037213425802395186
148,169,0.02917722981395294
165,150,0.03661672242820607
135,43,0.0367237681179275
20,48,0.043624465940799655
83,114,0.04350213115040906
25,15,0.02897865308206383
112,70,0.04059025135749907
150,122,0.029915395104584054
11,181,0.03456433859072387
110,170,0.038970365535735595
86,62,0.03569904681123324
187,40,0.043244850001812524
88,2,0.03653323240232873
41,184,0.03556988880884994
51,155,0.030925836392297946
96,57,0.032926849863987195
146,95,0.04116626854193908
127,65,0.03327466759057888
100,191,0.034834991860539906
165,186,0.037223496775169874
107,191,0.041252638392529614
34,92,0.03715863272425203
2,67,0.0344094097466159
14,8,0.03168900009101079
142,62,0.03556658437638625
186,67,0.027681171272410796
69,44,0.032468960851488114
11,140,0.042191058903913836
156,56,0.035893679796195704
145,123,0.04245979252956083
75,185,0.027162882125101845
114,77,0.04709203550337141
67,7,0.03286332565455108
52,113,0.02635759669679228
138,181,0.037578896027561016
57,121,0.035722901724080595
169,21,0.031148034448658313
108,137,0.045169013220170993
118,52,0.039650025928240365
110,88,0.037989975319024254
164,198,0.038847644369854564
83,116,0.036670585965426834
152,83,0.038519088438312366
153,197,0.02239822887182879
199,45,0.029330643628968825
121,144,0.02716100308535423
50,120,0.034320451865668684
93,165,0.05018092764039809
39,155,0.03606388637101948
8,190,0.03531652977605231
131,25,0.031546138817615456
28,99,0.04014737477348241
119,185,0.030103785291673874
198,96,0.03294149654308382
119,145,0.03567037145203774
66,163,0.037057331745099543
94,36,0.030023958697558365
58,160,0.02000881381575679
150,102,0.029533950735409095
72,29,0.029286051336736445
156,107,0.036291820666256205
99,121,0.03153834172694407
12,10,0.0338857408219739
52,12,0.028378006715316192
66,91,0.034925995627873324
48,6,0.034482304147065615
31,95,0.04113871985721137
33,109,0.03232426815524343
48,33,0.03930549905667612
52,145,0.030981369887605012
85,178,0.03842693150820603
126,129,0.03811493302765405
148,64,0.022531397351846914
84,6,0.03176678692685706
73,126,0.03533155768504811
152,105,0.03349097619796238
39,151,0.04863389560310309
84,157,0.03470320081479458
144,39,0.02658925682555774
30,120,0.036398973170880186
124,170,0.041576362408693404
134,156,0.03111560203817286
66,121,0.03884798323540207
65,129,0.03584794909499626
119,110,0.041422522342974305
86,194,0.03349482696532788
73,31,0.036716420666433665
22,106,0.044350516172647535
130,97,0.03386918277338529
141,37,0.042536885021172394
104,145,0.042142314913517546
186,24,0.03194910323513164
56,95,0.02997336159498322
116,79,0.046249373112254334
7,159,0.039133522093317864
69,29,0.034198768344031336
200,134,0.04338618406531957
153,16,0.03444450888284272
136,10,0.04090498670393407
193,193,0.04058178118594474
157,165,0.027504649838909264
197,157,0.03502263196421932
197,61,0.03141832517203638
109,127,0.033964489979790825
93,99,0.044811123356954766
58,196,0.04122177061783082
169,26,0.03860304307743895
81,173,0.03381113128612522
94,114,0.028908557982733972
16,88,0.03242751260550849
8,194,0.04391549775793266
70,60,0.04171620616493485
71,137,0.03598700528484531
161,73,0.029181025974472502
61,161,0.034067051264020466
56,83,0.0262603651609725
107,123,0.04287260522972024
130,179,0.02865510992170319
63,93,0.022232732392509964
102,161,0.03380682953684046
10,13,0.04298475119675848
80,194,0.03440653230470912
177,187,0.04207704857307289
111,26,0.033163643600695736
73,87,0.043041241248389636
81,97,0.04688236940820491
150,197,0.03309600888345027
56,92,0.0393876602114351
125,82,0.027283025088614743
78,24,0.042329066132423335
41,198,0.023658454414844536
137,118,0.035278842263399335
2,141,0.03998551987168272
45,43,0.03971661414314772
77,71,0.03788455313244103
3,144,0.03877793772064006
59,67,0.030272311363846026
92,65,0.03143919387540284
