X,Y,Value
15,130,0.018977647564205495
140,81,0.014823059370530682
127,3,0.014893541562888777
138,169,0.035911078668105396
5,200,0.014778875908270756
128,184,0.01620438146733945
14,53,0.017235034902811926
188,178,0.02415971001137571
109,120,0.0180640271554192
121,113,0.017003001847062868
89,171,0.031231672110081724
109,67,0.028194066343498164
140,60,0.027800414266667576
55,155,0.014625503671632267
183,122,0.024779824538991416
54,20,0.021910180871733388
1,152,0.01705447190090862
40,56,0.024061592705779348
119,78,0.019804462652154534
129,5,0.01853686383826503
83,12,0.010405601770013363
84,28,0.021515648686628062
130,34,0.018702869375824622
42,33,0.029456808402711428
117,79,0.033221165661592444
40,54,0.017883549246279176
131,82,0.018378872461364704
61,32,0.019998001234567263
67,41,0.0210306712456954
189,154,0.017472429676296124
95,145,0.024823474069607263
68,79,0.016042887380560023
154,197,0.019060335400504155
197,117,0.027665692158073657
85,14,0.027499934333389837
119,179,0.02730472651326712
60,60,0.021299678839829098
13,145,0.009485865687913111
169,140,0.012013030606110763
156,116,0.032630004018778136
192,147,0.019477788018021754
59,21,0.02213691539766418
76,43,0.014401197060284959
120,165,0.024303159213518388
123,38,0.011246186922491932
167,159,0.018842135113164023
128,23,0.022240541383570643
39,48,0.01726727965265037
24,57,0.022721534290161355
59,13,0.027479046317890287
72,42,0.011035262740144802
138,78,0.01749010089280926
128,77,0.026289021026331058
106,136,0.02705055817125674
127,38,0.017327066794662057
32,69,0.012600354495231616
78,174,0.016552326716400396
105,38,0.014977548416819034
5,92,0.0218628789597728
168,186,0.0133769212138747
140,181,0.027968234220937284
105,130,0.03688907995577073
96,24,0.016581537076871593
116,107,0.02199662057570012
10,144,0.018500582756833146
52,73,0.023023965422546644
82,187,0.024065325726532923
16,75,0.023639431888671267
51,118,0.017302242131293836
8,36,0.019638769701623145
186,140,0.02034879775938308
114,113,0.015832414977635007
30,169,0.03219895590004193
163,170,0.01797343682468825
133,30,0.011840011905282121
33,140,0.013869050544385766
76,102,0.017915162640291665
1,25,0.015928263668273653
176,89,0.027142828025304485
109,83,0.014975091397222636
97,140,0.01202631381162978
116,111,0.02353076898753231
16,8,0.029652142539530545
60,147,0.02949784345940524
18,5,0.014729271857626573
154,165,0.02242962653148897
40,186,0.01674070159751758
112,173,0.022008799317574327
168,98,0.03264400723712261
105,120,0.016968302228539664
95,3,0.020044788212037295
194,191,0.02307430122088123
133,155,0.023646875881163834
28,146,0.020946796696529907
66,154,0.027702182162934387
9,47,0.018477789898578074
151,86,0.024500734281770707
